"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","44","0","0"
"UI Tests","Basic Auth Page","Zaloguj się przez Basic Auth","0","0","1","0","0"
"The Internet","StatusCodes","StatusCodes page test","0","0","3","0","0"
"UI Tests","Context Menu Page","Kliknięcie prawym przyciskiem i obsługa alertu","0","0","1","0","0"
"UI Tests","Dynamic Controls Page","Ukrywanie i pokazywanie checkboxa","0","0","1","0","0"
"UI Tests","Dynamic Loading Page","Example 2: Element not in the DOM until loaded","0","0","1","0","0"
"UI Tests","Checkboxes Page","Odznaczenie obu checkboxów","0","0","1","0","0"
"UI Tests","Disappearing Elements Page","Klikalność linków","0","0","1","0","0"
"UI Tests","Add/Remove Elements Page","Add multiple elements","0","0","1","0","0"
"UI Tests","Dynamic Controls Page","Włączanie i wyłączanie pola input","0","0","1","0","0"
"UI Tests","Checkboxes Page","Zaznaczenie checkboxa","0","0","1","0","0"
"UI Tests","Dynamic Content Page","Sprawdzenie zmieniającej się zawartości po odświeżeniu","0","0","1","0","0"
"UI Tests","Add/Remove Elements Page","Delete one element","0","0","1","0","0"
"The Internet","ShadowDom","ShadowDom page test","0","0","1","0","0"
"UI Tests","Dynamic Loading Page","Example 1: Element hidden in DOM","0","0","1","0","0"
"The Internet","NestedFrames","NestedFrames page test","0","0","1","0","0"
"UI Tests","Challenging DOM Page","Struktura tabeli","0","0","1","0","0"
"UI Tests","Dropdown Page","Wybór opcji z rozwijanego menu","0","0","1","0","0"
"UI Tests","Challenging DOM Page","Dane w komórce tabeli","0","0","1","0","0"
"UI Tests","Drag and Drop Page","Drag & Drop A → B","0","0","1","0","0"
"UI Tests","Broken Images Page","Wizualne sprawdzanie obrazów","0","0","1","0","0"
"UI Tests","Checkboxes Page","Odznaczenie checkboxa","0","0","1","0","0"
"UI Tests","Disappearing Elements Page","Sprawdzenie obecności linku Gallery","0","0","1","0","0"
"UI Tests","Checkboxes Page","Domyślny stan checkboxów","0","0","1","0","0"
"UI Tests","Digest Authentication Page","Digest Auth – logowanie przez httpCredentials","0","0","1","0","0"
"UI Tests","Add/Remove Elements Page","Add single element","0","0","1","0","0"
"UI Tests","Checkboxes Page","Zaznaczenie obu checkboxów","0","0","1","0","0"
"The Internet","Shifting Content","","0","0","1","0","0"
"UI Tests","Disappearing Elements Page","Sprawdzenie liczby linków","0","0","1","0","0"
"UI Tests","Challenging DOM Page","Kliknięcie przycisków u góry","0","0","1","0","0"
