"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 18 21:24:57 GMT 2025","Sat Oct 18 21:24:58 GMT 2025","1437","","tests.JQueryUIMenusTest","","tests.JQueryUIMenusTest","testPdfDownloadLink","testPdfDownloadLink()",""
"passed","Sat Oct 18 21:26:10 GMT 2025","Sat Oct 18 21:26:11 GMT 2025","1152","","tests.BasicAuthTest","","tests.BasicAuthTest","testBasicAuthThroughUI","testBasicAuthThroughUI()","UI test potwierdzający logowanie do strony chronionej Basic Auth przez adres URL"
"passed","Sat Oct 18 21:25:49 GMT 2025","Sat Oct 18 21:25:50 GMT 2025","1196","","tests.LargeDomTest","","tests.LargeDomTest","testAccessSpecificTableCell","testAccessSpecificTableCell()","Sprawdza, czy wybrana komórka z dużego DOM istnieje i zawiera poprawną treść"
"passed","Sat Oct 18 21:24:45 GMT 2025","Sat Oct 18 21:24:46 GMT 2025","1039","","tests.HorizontalSliderTest","","tests.HorizontalSliderTest","testSliderValueChange","testSliderValueChange()",""
"passed","Sat Oct 18 21:25:58 GMT 2025","Sat Oct 18 21:25:59 GMT 2025","480","","tests.FormAuthenticationTest","","tests.FormAuthenticationTest","testInvalidLogin","testInvalidLogin()",""
"passed","Sat Oct 18 21:25:52 GMT 2025","Sat Oct 18 21:25:52 GMT 2025","262","","tests.KeyPressesTest","","tests.KeyPressesTest","testKeyPressA","testKeyPressA()",""
"passed","Sat Oct 18 21:25:56 GMT 2025","Sat Oct 18 21:25:56 GMT 2025","334","","tests.StatusCodesTest","","tests.StatusCodesTest","testStatus404","Sprawdź kod 404",""
"passed","Sat Oct 18 21:25:18 GMT 2025","Sat Oct 18 21:25:19 GMT 2025","1167","","tests.ContextMenuTest","","tests.ContextMenuTest","testContextClickShowsAlert","testContextClickShowsAlert()","Wykonaj kliknięcie prawym przyciskiem na pole i sprawdź alert"
"passed","Sat Oct 18 21:25:33 GMT 2025","Sat Oct 18 21:25:40 GMT 2025","7129","","tests.DynamicControlsTest","","tests.DynamicControlsTest","testCheckboxAppearsAndDisappears","testCheckboxAppearsAndDisappears()","Testuje usuwanie i dodawanie checkboxa oraz wyświetlanie komunikatów"
"passed","Sat Oct 18 21:24:54 GMT 2025","Sat Oct 18 21:24:57 GMT 2025","2412","","tests.JQueryUIMenusTest","","tests.JQueryUIMenusTest","testExcelDownloadLink","testExcelDownloadLink()",""
"passed","Sat Oct 18 21:26:04 GMT 2025","Sat Oct 18 21:26:05 GMT 2025","1209","","tests.SecureFileDownloadTest","","tests.SecureFileDownloadTest","testSecureFileDownload","testSecureFileDownload()",""
"passed","Sat Oct 18 21:24:42 GMT 2025","Sat Oct 18 21:24:43 GMT 2025","1051","","Entry Ad Modal Tests","","tests.EntryAdTest","testModalCanBeClosed","Modal powinien się zamknąć po kliknięciu przycisku",""
"passed","Sat Oct 18 21:25:53 GMT 2025","Sat Oct 18 21:25:53 GMT 2025","265","","tests.KeyPressesTest","","tests.KeyPressesTest","testKeyPressSpace","testKeyPressSpace()",""
"passed","Sat Oct 18 21:25:09 GMT 2025","Sat Oct 18 21:25:15 GMT 2025","5661","","tests.DynamicLoadingTest","","tests.DynamicLoadingTest","testDynamicLoadingExample2","testDynamicLoadingExample2()","Testuje ładowanie elementu dynamicznie dodawanego do DOM (Example 2)"
"passed","Sat Oct 18 21:24:48 GMT 2025","Sat Oct 18 21:24:48 GMT 2025","261","","tests.CheckboxesTest","","tests.CheckboxesTest","testUncheckBothCheckboxes","testUncheckBothCheckboxes()","Odznacz oba checkboxy i sprawdź ich stan"
"passed","Sat Oct 18 21:25:15 GMT 2025","Sat Oct 18 21:25:17 GMT 2025","1095","","tests.JavaScriptAlertsTest","","tests.JavaScriptAlertsTest","testJsAlertAccept","testJsAlertAccept()",""
"passed","Sat Oct 18 21:25:46 GMT 2025","Sat Oct 18 21:25:47 GMT 2025","1096","","tests.DisappearingElementsTest","","tests.DisappearingElementsTest","testEachLinkIsClickable","testEachLinkIsClickable()","Kliknij każdy dostępny link i wróć, aby sprawdzić działanie"
"passed","Sat Oct 18 21:25:55 GMT 2025","Sat Oct 18 21:25:56 GMT 2025","1120","","tests.StatusCodesTest","","tests.StatusCodesTest","testStatus200","Sprawdź kod 200",""
